,"brief","extended","long","medium","micro","short","tiny","very_long"
"A",237,109,306,508,91,365,167,179
"B",228,119,310,507,81,405,139,192
"C",238,96,274,464,88,369,160,209
"D",271,107,298,473,84,400,152,192
"E",246,102,307,462,104,388,144,194
"F",209,86,290,451,97,406,143,179
"G",206,82,296,436,100,355,168,176
"H",230,89,276,502,114,371,178,163
"J",236,81,265,472,89,357,167,212
"K",227,98,275,458,89,361,165,195
"L",217,87,294,473,85,395,165,156
"M",217,107,274,460,98,405,141,184
"N",230,93,286,485,75,375,172,219
"P",223,92,304,475,101,368,151,179
"Q",236,93,295,478,99,375,169,191
"R",216,94,295,462,93,371,147,208
"S",235,97,276,515,73,374,144,181
"T",257,93,274,507,102,394,146,176
"U",242,87,308,482,96,368,172,188
"V",244,111,297,474,92,374,161,212
"Z",195,94,277,442,97,399,137,184
