,"brief","extended","long","medium","micro","short","tiny","very_long"
"Cartographic materials",174,82,234,334,86,280,102,140
"Commemorative works",185,65,231,382,48,306,126,120
"Creative nonfiction",148,85,203,382,60,266,117,137
"Discursive works",181,67,228,330,62,267,125,147
"Ephemera",153,72,200,346,56,293,95,158
"Informational works",202,86,211,352,59,297,122,143
"Instructional and educational works",159,68,214,369,52,304,112,129
"Law materials",194,75,226,352,75,281,146,136
"Literature",154,62,228,385,67,276,124,152
"Music",190,54,215,380,76,269,116,138
"Recreational works",156,72,206,363,73,256,120,148
"Religious materials",164,73,211,310,69,278,108,160
"Sound recordings",154,77,202,395,76,274,127,137
"Visual works",182,80,234,370,72,275,115,140
