Type 1,Type 2,Relationship,Mean r,Median r,Std r,Min r,Max r,N pairs
classification,classification,Within,0.6430219283425618,0.5839126345731742,0.19876421084980647,0.43458416817467194,0.9105689822798392,3
classification,retrieval,Cross,0.48430136408120067,0.46536335625176345,0.273797059584383,0.09343479723338356,0.9556207890412224,9
classification,clustering,Cross,-0.07427196648767266,-0.18995570820191895,0.46003524250951094,-0.5925627601979225,0.7195135113983298,12
classification,pair_classification,Cross,0.2170549571061075,0.1813666813340737,0.30245881754295373,-0.24457184024467632,0.617524965862369,18
retrieval,retrieval,Within,0.2975111601042412,0.004362567719992395,0.47517480039018206,-0.07958864414791274,0.9677595567406441,3
retrieval,clustering,Cross,-0.023621048788852444,-0.20040837780317106,0.4839579773517128,-0.6827014755190923,0.872621156190875,12
retrieval,pair_classification,Cross,0.10140105504617633,0.0665604491629771,0.39382151917817465,-0.43156362180833985,0.785882236049844,18
clustering,clustering,Within,-0.04661824213623091,-0.04451777692934536,0.733271352912341,-0.9190397349638805,0.8728961529490781,6
clustering,pair_classification,Cross,-0.2355281752974729,-0.3248638203017169,0.5527245592438412,-0.8150608862612327,0.9200980005025696,24
pair_classification,pair_classification,Within,0.37630346417320365,0.4624712685026387,0.4022725346919671,-0.09838986906513901,0.9938754259802757,15
